Start_date,Crab ,Fertilization_date,Tray Number,Well,Cue,settled_10hrs,unattached_10hrs ,settled_20hrs,unattached_20hrs ,settled_30hrs,unattached_30hrs 
3-Mar,G1,27-Jan,1,a,Conspecific shell ,1,5,1,5,3,2
3-Mar,G1,27-Jan,1,b,Conspecific shell + conspecific cue,1,5,2,4,2,4
3-Mar,G1,27-Jan,1,c,Steralized shell ,0,6,0,6,0,6
3-Mar,G1,27-Jan,1,d,Steralized shell + conspecific cue ,1,5,1,5,1,5
3-Mar,G1,27-Jan,1,e,Steralized shell + predator cue,0,6,0,6,1,5
3-Mar,G1,27-Jan,1,f,Steralized shell + conspecific cue + predator cue,0,6,0,6,0,6
3-Mar,G1,27-Jan,2,a,Conspecific shell + conspecific cue,2,4,2,4,3,3
3-Mar,G1,27-Jan,2,b,Steralized shell + conspecific cue ,0,6,0,6,1,5
3-Mar,G1,27-Jan,2,c,Steralized shell + conspecific cue + predator cue,0,6,2,4,1,5
3-Mar,G1,27-Jan,2,d,Conspecific shell ,1,5,1,5,2,4
3-Mar,G1,27-Jan,2,e,Steralized shell ,1,5,0,6,2,4
3-Mar,G1,27-Jan,2,f,Steralized shell + predator cue,1,5,0,6,0,6
3-Mar,G1,27-Jan,3,a,Steralized shell + predator cue,0,6,0,6,0,6
3-Mar,G1,27-Jan,3,b,Conspecific shell ,0,6,1,5,1,5
3-Mar,G1,27-Jan,3,c,Conspecific shell + conspecific cue,2,4,6,0,6,0
3-Mar,G1,27-Jan,3,d,Steralized shell ,1,5,2,4,2,4
3-Mar,G1,27-Jan,3,e,Steralized shell + conspecific cue + predator cue,0,6,2,4,2,4
3-Mar,G1,27-Jan,3,f,Steralized shell + conspecific cue ,0,6,1,5,2,4
3-Mar,G1,27-Jan,4,a,Conspecific shell ,1,5,1,5,2,4
3-Mar,G1,27-Jan,4,b,Steralized shell ,0,6,1,5,1,5
3-Mar,G1,27-Jan,4,c,Steralized shell + conspecific cue ,0,5,0,5,0,5
3-Mar,G1,27-Jan,4,d,Conspecific shell + conspecific cue,2,4,3,3,4,2
3-Mar,G1,27-Jan,4,e,Steralized shell + conspecific cue + predator cue,0,6,0,6,0,6
3-Mar,G1,27-Jan,4,f,Steralized shell + predator cue,0,6,0,6,0,6
3-Mar,G1,27-Jan,5,a,Conspecific shell + conspecific cue,2,4,5,1,5,1
3-Mar,G1,27-Jan,5,b,Steralized shell + predator cue,0,6,0,6,0,6
3-Mar,G1,27-Jan,5,c,Steralized shell + conspecific cue + predator cue,0,6,0,6,0,6
3-Mar,G1,27-Jan,5,d,Conspecific shell ,1,5,2,4,5,1
3-Mar,G1,27-Jan,5,e,Steralized shell + conspecific cue ,0,6,1,5,2,4
3-Mar,G1,27-Jan,5,f,Steralized shell ,1,5,3,3,3,3
3-Mar,G1,27-Jan,6,a,Steralized shell + predator cue,0,6,0,6,0,6
3-Mar,G1,27-Jan,6,b,Steralized shell + conspecific cue ,1,5,1,5,2,4
3-Mar,G1,27-Jan,6,d,Conspecific shell + conspecific cue,3,2,4,2,4,2
3-Mar,G1,27-Jan,6,e,Conspecific shell ,3,3,3,3,4,2
3-Mar,G1,27-Jan,6,f,Steralized shell ,0,6,1,5,1,5
3-Mar,G1,27-Jan,7,a,Conspecific shell ,0,4,2,2,2,2
3-Mar,G1,27-Jan,7,b,Conspecific shell + conspecific cue,2,4,2,4,2,4
3-Mar,G1,27-Jan,7,c,Steralized shell ,0,6,0,6,0,6
3-Mar,G1,27-Jan,7,d,Steralized shell + conspecific cue ,0,6,0,6,0,6
3-Mar,G1,27-Jan,7,e,Steralized shell + predator cue,0,6,0,6,0,6
